Layer: 1, Crossbars required: 1
OU Row: 20, OU Col: 4, OU required: 13, Latency: 845.0, Energy: 405600.0, EDP: 342732000.00000 J•s, Power Density: 0.00044 W, TOPS: 4.27e-02, EPM: 1.04e-14
OU Row: 20, OU Col: 8, OU required: 7, Latency: 245.0, Energy: 235200.0, EDP: 57624000.00000 J•s, Power Density: 0.00103 W, TOPS: 8.54e-02, EPM: 1.21e-14
OU Row: 20, OU Col: 12, OU required: 5, Latency: 125.0, Energy: 180000.0, EDP: 22500000.00000 J•s, Power Density: 0.00177 W, TOPS: 1.28e-01, EPM: 1.38e-14
OU Row: 20, OU Col: 16, OU required: 4, Latency: 80.0, Energy: 153600.0, EDP: 12288000.00000 J•s, Power Density: 0.00265 W, TOPS: 1.71e-01, EPM: 1.55e-14
OU Row: 20, OU Col: 20, OU required: 3, Latency: 45.0, Energy: 108000.0, EDP: 4860000.00000 J•s, Power Density: 0.00367 W, TOPS: 2.14e-01, EPM: 1.72e-14
OU Row: 20, OU Col: 24, OU required: 3, Latency: 45.0, Energy: 129600.0, EDP: 5832000.00000 J•s, Power Density: 0.00484 W, TOPS: 2.56e-01, EPM: 1.89e-14
OU Row: 20, OU Col: 28, OU required: 2, Latency: 20.0, Energy: 67200.0, EDP: 1344000.00000 J•s, Power Density: 0.00616 W, TOPS: 2.99e-01, EPM: 2.06e-14
OU Row: 20, OU Col: 32, OU required: 2, Latency: 20.0, Energy: 76800.0, EDP: 1536000.00000 J•s, Power Density: 0.00762 W, TOPS: 3.42e-01, EPM: 2.23e-14
OU Row: 24, OU Col: 4, OU required: 11, Latency: 726.0, Energy: 418176.0, EDP: 303595776.00000 J•s, Power Density: 0.00062 W, TOPS: 5.13e-02, EPM: 1.21e-14
OU Row: 24, OU Col: 8, OU required: 6, Latency: 216.0, Energy: 248832.0, EDP: 53747712.00000 J•s, Power Density: 0.00142 W, TOPS: 1.03e-01, EPM: 1.38e-14
OU Row: 24, OU Col: 12, OU required: 4, Latency: 96.0, Energy: 165888.0, EDP: 15925248.00000 J•s, Power Density: 0.00239 W, TOPS: 1.54e-01, EPM: 1.55e-14
OU Row: 24, OU Col: 16, OU required: 3, Latency: 54.0, Energy: 124416.0, EDP: 6718464.00000 J•s, Power Density: 0.00353 W, TOPS: 2.05e-01, EPM: 1.72e-14
OU Row: 24, OU Col: 20, OU required: 3, Latency: 54.0, Energy: 155520.0, EDP: 8398080.00000 J•s, Power Density: 0.00485 W, TOPS: 2.56e-01, EPM: 1.89e-14
OU Row: 24, OU Col: 24, OU required: 2, Latency: 24.0, Energy: 82944.0, EDP: 1990656.00000 J•s, Power Density: 0.00634 W, TOPS: 3.08e-01, EPM: 2.06e-14
OU Row: 24, OU Col: 28, OU required: 2, Latency: 24.0, Energy: 96768.0, EDP: 2322432.00000 J•s, Power Density: 0.00801 W, TOPS: 3.59e-01, EPM: 2.23e-14
OU Row: 24, OU Col: 32, OU required: 2, Latency: 24.0, Energy: 110592.0, EDP: 2654208.00000 J•s, Power Density: 0.00986 W, TOPS: 4.10e-01, EPM: 2.40e-14
OU Row: 28, OU Col: 4, OU required: 10, Latency: 700.0, Energy: 470400.0, EDP: 329280000.00000 J•s, Power Density: 0.00083 W, TOPS: 5.98e-02, EPM: 1.39e-14
OU Row: 28, OU Col: 8, OU required: 5, Latency: 175.0, Energy: 235200.0, EDP: 41160000.00000 J•s, Power Density: 0.00186 W, TOPS: 1.20e-01, EPM: 1.56e-14
OU Row: 28, OU Col: 12, OU required: 4, Latency: 112.0, Energy: 225792.0, EDP: 25288704.00000 J•s, Power Density: 0.00310 W, TOPS: 1.79e-01, EPM: 1.73e-14
OU Row: 28, OU Col: 16, OU required: 3, Latency: 63.0, Energy: 169344.0, EDP: 10668672.00000 J•s, Power Density: 0.00454 W, TOPS: 2.39e-01, EPM: 1.90e-14
OU Row: 28, OU Col: 20, OU required: 2, Latency: 28.0, Energy: 94080.0, EDP: 2634240.00000 J•s, Power Density: 0.00618 W, TOPS: 2.99e-01, EPM: 2.07e-14
OU Row: 28, OU Col: 24, OU required: 2, Latency: 28.0, Energy: 112896.0, EDP: 3161088.00000 J•s, Power Density: 0.00803 W, TOPS: 3.59e-01, EPM: 2.24e-14
OU Row: 28, OU Col: 28, OU required: 2, Latency: 28.0, Energy: 131712.0, EDP: 3687936.00000 J•s, Power Density: 0.01007 W, TOPS: 4.19e-01, EPM: 2.41e-14
OU Row: 28, OU Col: 32, OU required: 2, Latency: 28.0, Energy: 150528.0, EDP: 4214784.00000 J•s, Power Density: 0.01233 W, TOPS: 4.79e-01, EPM: 2.58e-14
OU Row: 32, OU Col: 4, OU required: 8, Latency: 512.0, Energy: 393216.0, EDP: 201326592.00000 J•s, Power Density: 0.00107 W, TOPS: 6.84e-02, EPM: 1.56e-14
OU Row: 32, OU Col: 8, OU required: 4, Latency: 128.0, Energy: 196608.0, EDP: 25165824.00000 J•s, Power Density: 0.00236 W, TOPS: 1.37e-01, EPM: 1.73e-14
OU Row: 32, OU Col: 12, OU required: 3, Latency: 72.0, Energy: 165888.0, EDP: 11943936.00000 J•s, Power Density: 0.00389 W, TOPS: 2.05e-01, EPM: 1.90e-14
OU Row: 32, OU Col: 16, OU required: 2, Latency: 32.0, Energy: 98304.0, EDP: 3145728.00000 J•s, Power Density: 0.00566 W, TOPS: 2.73e-01, EPM: 2.07e-14
OU Row: 32, OU Col: 20, OU required: 2, Latency: 32.0, Energy: 122880.0, EDP: 3932160.00000 J•s, Power Density: 0.00765 W, TOPS: 3.42e-01, EPM: 2.24e-14
OU Row: 32, OU Col: 24, OU required: 2, Latency: 32.0, Energy: 147456.0, EDP: 4718592.00000 J•s, Power Density: 0.00988 W, TOPS: 4.10e-01, EPM: 2.41e-14
OU Row: 32, OU Col: 28, OU required: 2, Latency: 32.0, Energy: 172032.0, EDP: 5505024.00000 J•s, Power Density: 0.01234 W, TOPS: 4.79e-01, EPM: 2.58e-14
OU Row: 32, OU Col: 32, OU required: 1, Latency: 8.0, Energy: 49152.0, EDP: 393216.00000 J•s, Power Density: 0.01504 W, TOPS: 5.47e-01, EPM: 2.75e-14
Layer: 3, Crossbars required: 20
OU Row: 4, OU Col: 4, OU required: 64, Latency: 4096.0, Energy: 1310720.0, EDP: 5368709120.00000 J•s, Power Density: 0.00003 W, TOPS: 8.54e-03, EPM: 3.44e-15
OU Row: 4, OU Col: 8, OU required: 32, Latency: 1024.0, Energy: 655360.0, EDP: 671088640.00000 J•s, Power Density: 0.00009 W, TOPS: 1.71e-02, EPM: 5.14e-15
OU Row: 4, OU Col: 12, OU required: 22, Latency: 484.0, Energy: 464640.0, EDP: 224885760.00000 J•s, Power Density: 0.00018 W, TOPS: 2.56e-02, EPM: 6.84e-15
OU Row: 4, OU Col: 16, OU required: 16, Latency: 256.0, Energy: 327680.0, EDP: 83886080.00000 J•s, Power Density: 0.00029 W, TOPS: 3.42e-02, EPM: 8.54e-15
OU Row: 4, OU Col: 20, OU required: 13, Latency: 169.0, Energy: 270400.0, EDP: 45697600.00000 J•s, Power Density: 0.00044 W, TOPS: 4.27e-02, EPM: 1.02e-14
OU Row: 4, OU Col: 24, OU required: 11, Latency: 121.0, Energy: 232320.0, EDP: 28110720.00000 J•s, Power Density: 0.00061 W, TOPS: 5.13e-02, EPM: 1.19e-14
OU Row: 4, OU Col: 28, OU required: 10, Latency: 100.0, Energy: 224000.0, EDP: 22400000.00000 J•s, Power Density: 0.00082 W, TOPS: 5.98e-02, EPM: 1.36e-14
OU Row: 4, OU Col: 32, OU required: 8, Latency: 64.0, Energy: 163840.0, EDP: 10485760.00000 J•s, Power Density: 0.00105 W, TOPS: 6.84e-02, EPM: 1.53e-14
OU Row: 8, OU Col: 4, OU required: 32, Latency: 2048.0, Energy: 1310720.0, EDP: 2684354560.00000 J•s, Power Density: 0.00009 W, TOPS: 1.71e-02, EPM: 5.17e-15
OU Row: 8, OU Col: 8, OU required: 16, Latency: 512.0, Energy: 655360.0, EDP: 335544320.00000 J•s, Power Density: 0.00023 W, TOPS: 3.42e-02, EPM: 6.87e-15
OU Row: 8, OU Col: 12, OU required: 11, Latency: 242.0, Energy: 464640.0, EDP: 112442880.00000 J•s, Power Density: 0.00044 W, TOPS: 5.13e-02, EPM: 8.58e-15
OU Row: 8, OU Col: 16, OU required: 8, Latency: 128.0, Energy: 327680.0, EDP: 41943040.00000 J•s, Power Density: 0.00070 W, TOPS: 6.84e-02, EPM: 1.03e-14
OU Row: 8, OU Col: 20, OU required: 7, Latency: 98.0, Energy: 313600.0, EDP: 30732800.00000 J•s, Power Density: 0.00102 W, TOPS: 8.54e-02, EPM: 1.20e-14
OU Row: 8, OU Col: 24, OU required: 6, Latency: 72.0, Energy: 276480.0, EDP: 19906560.00000 J•s, Power Density: 0.00140 W, TOPS: 1.03e-01, EPM: 1.37e-14
OU Row: 8, OU Col: 28, OU required: 5, Latency: 50.0, Energy: 224000.0, EDP: 11200000.00000 J•s, Power Density: 0.00184 W, TOPS: 1.20e-01, EPM: 1.54e-14
OU Row: 8, OU Col: 32, OU required: 4, Latency: 32.0, Energy: 163840.0, EDP: 5242880.00000 J•s, Power Density: 0.00234 W, TOPS: 1.37e-01, EPM: 1.71e-14
OU Row: 12, OU Col: 4, OU required: 22, Latency: 1452.0, Energy: 1393920.0, EDP: 2023971840.00000 J•s, Power Density: 0.00018 W, TOPS: 2.56e-02, EPM: 6.91e-15
OU Row: 12, OU Col: 8, OU required: 11, Latency: 363.0, Energy: 696960.0, EDP: 252996480.00000 J•s, Power Density: 0.00044 W, TOPS: 5.13e-02, EPM: 8.61e-15
OU Row: 12, OU Col: 12, OU required: 8, Latency: 192.0, Energy: 552960.0, EDP: 106168320.00000 J•s, Power Density: 0.00079 W, TOPS: 7.69e-02, EPM: 1.03e-14
OU Row: 12, OU Col: 16, OU required: 6, Latency: 108.0, Energy: 414720.0, EDP: 44789760.00000 J•s, Power Density: 0.00123 W, TOPS: 1.03e-01, EPM: 1.20e-14
OU Row: 12, OU Col: 20, OU required: 5, Latency: 75.0, Energy: 360000.0, EDP: 27000000.00000 J•s, Power Density: 0.00176 W, TOPS: 1.28e-01, EPM: 1.37e-14
